algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,Random,1000,0.8605,9670,8
QuickSort,Random,1000,0.3549,17975,6
QuickSelect,Random,1000,0.2819,3848,14
MergeSort,Sorted,1000,0.0169,999,8
QuickSort,Sorted,1000,0.2206,16029,7
QuickSelect,Sorted,1000,0.3301,5556,14
MergeSort,Duplicates,1000,0.2156,9160,8
QuickSort,Duplicates,1000,0.0538,5705,3
QuickSelect,Duplicates,1000,0.2191,3105,3
MergeSort,Random,10000,2.8774,128114,11
QuickSort,Random,10000,1.2719,228622,8
QuickSelect,Random,10000,1.8518,26817,18
MergeSort,Sorted,10000,0.0760,9999,11
QuickSort,Sorted,10000,1.0814,253094,8
QuickSelect,Sorted,10000,0.3520,39484,14
MergeSort,Duplicates,10000,0.7263,122390,11
QuickSort,Duplicates,10000,0.6519,52109,3
QuickSelect,Duplicates,10000,0.4597,46235,5
MergeSort,Random,100000,12.9144,1647787,14
QuickSort,Random,100000,17.1888,2989619,10
QuickSelect,Random,100000,1.7030,510501,19
MergeSort,Sorted,100000,0.3253,99999,14
QuickSort,Sorted,100000,10.3976,2979543,11
QuickSelect,Sorted,100000,0.7395,626669,21
MergeSort,Duplicates,100000,7.8345,1569617,14
QuickSort,Duplicates,100000,3.0088,729406,2
QuickSelect,Duplicates,100000,1.9506,309624,3
MergeSort,Random,1000000,156.7915,19970144,18
QuickSort,Random,1000000,179.4170,37787148,13
QuickSelect,Random,1000000,20.2214,4047408,28
MergeSort,Sorted,1000000,3.4482,999999,18
QuickSort,Sorted,1000000,128.6790,36986309,13
QuickSelect,Sorted,1000000,7.3303,4440042,29
MergeSort,Duplicates,1000000,76.9688,19009769,18
QuickSort,Duplicates,1000000,23.3871,5501672,2
QuickSelect,Duplicates,1000000,14.2848,2800530,3
